"","gname","country_txt","iyear","imonth","iday","country","region","region_txt","attacktype1","attacktype1_txt","targtype1","targtype1_txt","weaptype1","weaptype1_txt","nkill","nwound"
"2246","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,3,22,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",3,0
"2247","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,3,30,228,10,"Middle East & North Africa",2,"Armed Assault",14,"Private Citizens & Property",5,"Firearms",2,0
"2248","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2009,11,3,228,10,"Middle East & North Africa",2,"Armed Assault",3,"Police",5,"Firearms",5,0
"2249","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,8,30,228,10,"Middle East & North Africa",1,"Assassination",2,"Government (General)",5,"Firearms",1,0
"2250","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,8,1,228,10,"Middle East & North Africa",2,"Armed Assault",3,"Police",6,"Explosives/Bombs/Dynamite",4,1
"2251","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,6,28,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",5,3
"2252","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,11,26,228,10,"Middle East & North Africa",2,"Armed Assault",1,"Business",5,"Firearms",1,1
"2253","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,3,19,228,10,"Middle East & North Africa",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,0
"2254","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,4,1,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",4,3
"2255","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,8,11,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",6,"Explosives/Bombs/Dynamite",5,0
"2256","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,8,17,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",6,"Explosives/Bombs/Dynamite",0,2
"2257","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,7,15,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",1,0
"2258","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,12,3,228,10,"Middle East & North Africa",6,"Hostage Taking (Kidnapping)",3,"Police",13,"Unknown",0,0
"2259","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,5,3,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",NA,NA
"2260","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,5,11,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",4,1
"2261","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,12,8,228,10,"Middle East & North Africa",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",0,0
"2262","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,9,30,228,10,"Middle East & North Africa",5,"Hostage Taking (Barricade Incident)",4,"Military",6,"Explosives/Bombs/Dynamite",5,9
"2263","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,12,30,228,10,"Middle East & North Africa",2,"Armed Assault",3,"Police",5,"Firearms",0.5,0
"2264","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,7,24,228,10,"Middle East & North Africa",6,"Hostage Taking (Kidnapping)",4,"Military",13,"Unknown",NA,NA
"2265","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,3,3,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",3,5
"2266","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,12,16,228,10,"Middle East & North Africa",3,"Bombing/Explosion",21,"Utilities",6,"Explosives/Bombs/Dynamite",0,0
"2267","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,5,24,228,10,"Middle East & North Africa",3,"Bombing/Explosion",3,"Police",6,"Explosives/Bombs/Dynamite",3,4
"2268","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,8,31,228,10,"Middle East & North Africa",1,"Assassination",2,"Government (General)",5,"Firearms",1,0
"2269","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2011,3,6,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",1,0
"2270","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,8,8,228,10,"Middle East & North Africa",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",1,6
"2271","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,10,7,228,10,"Middle East & North Africa",6,"Hostage Taking (Kidnapping)",4,"Military",5,"Firearms",4,2
"2272","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2010,7,14,228,10,"Middle East & North Africa",2,"Armed Assault",3,"Police",5,"Firearms",3,5
"2273","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,11,29,228,10,"Middle East & North Africa",6,"Hostage Taking (Kidnapping)",3,"Police",5,"Firearms",1,0
"2274","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,6,8,228,10,"Middle East & North Africa",9,"Unknown",4,"Military",13,"Unknown",1,1
"2275","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,8,21,228,10,"Middle East & North Africa",3,"Bombing/Explosion",21,"Utilities",6,"Explosives/Bombs/Dynamite",0,0
"2276","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,2,2,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",9,6
"2277","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,6,11,228,10,"Middle East & North Africa",6,"Hostage Taking (Kidnapping)",8,"Educational Institution",13,"Unknown",0,0
"2278","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,10,21,228,10,"Middle East & North Africa",2,"Armed Assault",14,"Private Citizens & Property",8,"Incendiary",0,0
"2279","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,3,4,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",22,NA
"2280","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2010,7,26,228,10,"Middle East & North Africa",2,"Armed Assault",7,"Government (Diplomatic)",6,"Explosives/Bombs/Dynamite",3,0
"2281","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,4,8,228,10,"Middle East & North Africa",1,"Assassination",2,"Government (General)",5,"Firearms",1,0
"2282","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,8,14,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",2.5,6.5
"2283","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,1,27,228,10,"Middle East & North Africa",1,"Assassination",3,"Police",5,"Firearms",1,0
"2284","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,12,21,228,10,"Middle East & North Africa",9,"Unknown",3,"Police",13,"Unknown",1,3
"2285","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,10,6,228,10,"Middle East & North Africa",6,"Hostage Taking (Kidnapping)",7,"Government (Diplomatic)",5,"Firearms",1,0
"2286","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2011,6,28,228,10,"Middle East & North Africa",1,"Assassination",4,"Military",6,"Explosives/Bombs/Dynamite",1,0
"2287","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,3,26,228,10,"Middle East & North Africa",2,"Armed Assault",12,"NGO",5,"Firearms",0,1
"2288","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,4,2,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",0,0
"2289","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2010,11,24,228,10,"Middle East & North Africa",1,"Assassination",15,"Religious Figures/Institutions",6,"Explosives/Bombs/Dynamite",16,NA
"2290","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,4,22,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",2,0
"2291","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,4,6,228,10,"Middle East & North Africa",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",2,0
"2292","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,3,3,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",6,"Explosives/Bombs/Dynamite",3,7
"2293","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,10,15,228,10,"Middle East & North Africa",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",0,0
"2294","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,12,9,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",7,4
"2295","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2011,6,6,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",15,NA
"2296","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,3,4,228,10,"Middle East & North Africa",6,"Hostage Taking (Kidnapping)",4,"Military",5,"Firearms",210,NA
"2297","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,8,14,228,10,"Middle East & North Africa",9,"Unknown",14,"Private Citizens & Property",13,"Unknown",1,0
"2298","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2010,9,29,228,10,"Middle East & North Africa",2,"Armed Assault",2,"Government (General)",5,"Firearms",3,5
"2299","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,3,31,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",29,13
"2300","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,9,20,228,10,"Middle East & North Africa",6,"Hostage Taking (Kidnapping)",3,"Police",5,"Firearms",8,0
"2301","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,8,9,228,10,"Middle East & North Africa",2,"Armed Assault",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,0
"2302","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,1,4,228,10,"Middle East & North Africa",6,"Hostage Taking (Kidnapping)",4,"Military",5,"Firearms",NA,NA
"2303","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,7,3,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",0,0
"2304","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,4,17,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",1,0
"2305","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,2,15,228,10,"Middle East & North Africa",1,"Assassination",4,"Military",5,"Firearms",5,0
"2306","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,8,4,228,10,"Middle East & North Africa",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",46,40
"2307","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,7,15,228,10,"Middle East & North Africa",2,"Armed Assault",14,"Private Citizens & Property",5,"Firearms",1,0
"2308","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,11,9,228,10,"Middle East & North Africa",3,"Bombing/Explosion",17,"Terrorists/Non-State Militia",6,"Explosives/Bombs/Dynamite",0,0
"2309","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,5,22,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",1,0
"2310","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,8,25,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",6,0
"2311","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,6,15,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",8,12
